"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"245",81,"Dan","Gosling","MID","Bournemouth",4900000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Hip injury - Expected back 02 Nov","2019-07-30T10:30:13.907385Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40387.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,3
"255",82,"Jefferson","Lerma","MID","Bournemouth",5e+06,6,"1.5","a",42,"29.2","7.3","9.0","4.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/152551.jpg",0,"0.3","1.2",0,0,0,0,0,0,2,0,0,0,3,3
"170",83,"Ben","Mee","DEF","Burnley",5e+06,10,"2.5","a",57,"62.2","20.9","37.0","12.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/51927.jpg",0,"0.5","2.0",0,0,1,0,0,0,0,0,0,0,2,5
"171",84,"James","Tarkowski","DEF","Burnley",5e+06,9,"2.2","a",54,"63.2","0.8","83.0","14.7","","2019-08-03T18:30:13.047591Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/17761.jpg",0,"0.4","1.8",0,0,1,0,0,0,1,0,0,0,2,5
"172",85,"Matthew","Lowton","DEF","Burnley",4500000,10,"2.5","a",59,"56.0","60.3","3.0","12.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/68983.jpg",0,"0.6","2.2",0,0,1,0,0,0,0,0,0,0,2,5
"173",86,"Phil","Bardsley","DEF","Burnley",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/17997.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,5
"174",87,"Charlie","Taylor","DEF","Burnley",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/103914.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,5
"135",88,"Kevin","Long","DEF","Burnley",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-08-04T11:00:17.994252Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/41674.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,5
"136",89,"Ben","Gibson","DEF","Burnley",4e+06,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-07-31T00:00:11.168991Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/83312.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,5
"528",90,"Ashley","Barnes","FWD","Burnley",6700000,27,"6.8","a",103,"145.0","7.5","193.0","34.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/44699.jpg",4,"1.0","4.0",4,0,2,0,0,0,1,0,0,4,4,5
"529",91,"Chris","Wood","FWD","Burnley",6300000,6,"1.5","a",5,"10.8","27.3","81.0","11.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/60689.jpg",0,"0.2","1.0",0,0,1,1,0,0,0,0,0,0,4,5
"518",92,"Matej","Vydra","FWD","Burnley",5400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/81183.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,4,5
"51",93,"Nick","Pope","GKP","Burnley",4500000,15,"3.8","a",89,"89.0","20.3","2.0","11.1","","2019-07-31T00:00:11.182051Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/98747.jpg",1,"0.8","3.3",0,0,1,0,0,0,0,0,17,1,1,5
"34",94,"Tom","Heaton","GKP","Aston Villa",4500000,12,"3.0","a",61,"47.8","0.0","0.0","4.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/21205.jpg",0,"0.7","2.7",0,0,1,0,0,0,0,0,10,0,1,2
"47",95,"Joe","Hart","GKP","Burnley",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/15749.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,5
"417",96,"Johann Berg","Gudmundsson","MID","Burnley",6e+06,14,"4.7","d",51,"67.8","107.4","46.0","22.1","Calf injury - 50% chance of playing","2019-08-25T18:00:16.403317Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/60586.jpg",1,"0.6","2.3",1,0,2,0,0,0,0,0,0,1,3,5
"376",97,"Dwight","McNeil","MID","Burnley",6e+06,16,"4.0","a",60,"44.6","62.5","49.0","15.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/433154.jpg",0,"0.7","2.7",0,2,2,0,0,0,0,0,0,0,3,5
"298",98,"Robbie","Brady","MID","Burnley",5500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Rib Injury - Unknown return date","2019-07-31T00:00:11.195874Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/90517.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,5
"299",99,"Steven","Defour","MID","Burnley",5500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Calf injury - Unknown return date","2019-06-25T11:30:07.038056Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/39847.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,5
"300",100,"Jeff","Hendrick","MID","Burnley",5400000,1,"1.0","a",2,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/83314.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,3,5
"253",101,"Ashley","Westwood","MID","Burnley",5400000,9,"2.2","a",47,"36.6","64.4","5.0","10.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/60551.jpg",0,"0.4","1.7",0,0,1,0,0,0,0,0,0,0,3,5
"265",102,"Jack","Cork","MID","Burnley",5e+06,9,"2.2","a",42,"23.0","5.7","30.0","5.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40145.jpg",0,"0.4","1.8",0,0,1,0,0,0,0,0,0,0,3,5
"73",103,"Marcos","Alonso","DEF","Chelsea",6300000,1,"1.0","a",2,"2.0","0.0","2.0","0.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/82263.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,2,6
"74",104,"Antonio","Rüdiger","DEF","Chelsea",6e+06,0,"0.0","d",0,"0.0","0.0","0.0","0.0","Lack of match fitness - 50% chance of playing","2019-06-25T11:30:07.053434Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/102380.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,6
"75",105,"César","Azpilicueta","DEF","Chelsea",6e+06,7,"1.8","a",67,"74.6","69.3","27.0","17.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/41328.jpg",0,"0.3","1.2",0,1,0,0,0,0,0,0,0,0,2,6
"79",106,"David","Luiz Moreira Marinho","DEF","Arsenal",5900000,1,"0.5","a",23,"56.8","4.8","1.0","6.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/41270.jpg",0,"0.0","0.2",0,0,0,0,0,0,2,0,0,0,2,1
"76",107,"Emerson","Palmieri dos Santos","DEF","Chelsea",5500000,4,"1.0","a",71,"89.2","95.4","74.0","25.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/109533.jpg",0,"0.2","0.7",0,0,0,0,0,0,0,0,0,0,2,6
"77",108,"Andreas","Christensen","DEF","Chelsea",5e+06,3,"1.0","a",44,"61.0","2.6","19.0","8.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/135363.jpg",0,"0.2","0.6",0,0,0,0,0,0,0,0,0,0,2,6
"78",109,"Davide","Zappacosta","DEF","Chelsea",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Roma on loan until the end of January on 21/8. - Expected back 01 Feb","2019-08-21T19:30:16.936375Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/105700.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,6
"513",110,"Olivier","Giroud","FWD","Chelsea",6900000,4,"1.3","a",13,"12.4","46.8","21.0","7.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/44346.jpg",0,"0.1","0.6",0,0,1,0,0,0,0,0,0,0,4,6
"27",111,"Kepa","Arrizabalaga","GKP","Chelsea",5500000,5,"1.2","a",60,"54.0","0.0","0.0","5.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/109745.jpg",0,"0.2","0.9",0,0,0,0,0,0,0,0,8,0,1,6
"13",112,"Willy","Caballero","GKP","Chelsea",4900000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/20310.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,6
"317",113,"Willian","Borges Da Silva","MID","Chelsea",7e+06,3,"1.0","a",11,"0.2","1.3","8.0","0.9","","2019-07-30T11:00:13.285605Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/47431.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,3,6
"439",114,"Pedro","Rodríguez Ledesma","MID","Chelsea",7e+06,4,"2.0","d",26,"32.4","82.1","29.0","14.3","Hamstring injury - 50% chance of playing","2019-08-24T13:30:14.550162Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/49579.jpg",0,"0.1","0.6",0,0,0,0,0,0,0,0,0,0,3,6
"319",115,"Ruben","Loftus-Cheek","MID","Chelsea",6400000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Achilles injury - Unknown return date","2019-06-25T11:30:07.068350Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/126187.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,6
"441",116,"Callum","Hudson-Odoi","MID","Chelsea",6e+06,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Achilles injury - Expected back 14 Sep","2019-06-25T11:30:07.083018Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/209046.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,6
"442",117,"Ross","Barkley","MID","Chelsea",5800000,4,"1.3","a",23,"30.6","74.4","69.0","17.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/88894.jpg",0,"0.2","0.7",0,0,0,0,0,0,0,0,0,0,3,6
"322",118,"Jorge Luiz","Frello Filho","MID","Chelsea",5e+06,8,"2.0","a",57,"28.4","22.9","19.0","7.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/85955.jpg",0,"0.4","1.6",0,1,0,0,0,0,3,0,0,0,3,6
"336",119,"N'Golo","Kanté","MID","Chelsea",5e+06,2,"1.0","d",7,"23.0","19.3","18.0","6.0","Ankle injury - 50% chance of playing","2019-08-23T12:30:07.999173Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/116594.jpg",0,"0.1","0.4",0,0,0,0,0,0,1,0,0,0,3,6
"262",120,"Daniel","Drinkwater","MID","Burnley",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-08-15T14:00:16.210590Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/61603.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,5
"324",121,"Ethan","Ampadu","MID","Chelsea",4500000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined RB Leipzig on loan until the end of the season on 22/7. - Expected back 01 Jul","2019-07-22T13:30:07.199042Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/199598.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,6
"208",122,"Aaron","Wan-Bissaka","DEF","Man Utd",5600000,11,"2.8","a",75,"70.2","48.2","9.0","12.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/214590.jpg",2,"0.5","2.0",0,0,1,0,0,0,2,0,0,2,2,12
"99",123,"Patrick","van Aanholt","DEF","Crystal Palace",5500000,24,"6.0","a",72,"75.4","16.0","23.0","11.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/74230.jpg",2,"1.1","4.4",1,0,2,0,0,0,0,0,0,2,2,7
"100",124,"James","Tomkins","DEF","Crystal Palace",5e+06,0,"0.0","d",0,"0.0","0.0","0.0","0.0","Groin Injury - 50% chance of playing","2019-06-25T11:30:07.097330Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/49413.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,7
"101",125,"Mamadou","Sakho","DEF","Crystal Palace",5e+06,1,"1.0","a",3,"0.0","0.0","0.0","0.0","","2019-06-25T11:30:07.112991Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40784.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,2,7
"102",126,"Joel","Ward","DEF","Crystal Palace",4500000,16,"4.0","a",72,"73.0","5.6","0.0","7.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/55494.jpg",0,"0.9","3.6",0,0,2,0,0,0,0,0,0,0,2,7
"103",127,"Scott","Dann","DEF","Crystal Palace",4500000,8,"4.0","d",37,"37.2","0.4","69.0","10.7","Hand injury - 75% chance of playing","2019-08-30T13:00:12.954955Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/19188.jpg",0,"0.4","1.8",0,0,1,0,0,0,0,0,0,0,2,7
"221",128,"Martin","Kelly","DEF","Crystal Palace",4100000,16,"4.0","d",70,"60.0","0.8","4.0","6.5","Knock - 75% chance of playing","2019-08-31T17:30:17.529253Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/58786.jpg",0,"1.0","3.9",0,0,2,0,0,0,0,0,0,0,2,7
"521",129,"Christian","Benteke","FWD","Crystal Palace",5900000,6,"1.5","a",24,"23.4","27.6","25.0","7.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/54861.jpg",0,"0.3","1.0",0,0,1,0,0,0,0,0,0,0,4,7
"489",130,"Connor","Wickham","FWD","Crystal Palace",4500000,2,"1.0","a",3,"0.0","0.8","2.0","0.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/59125.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,4,7
"16",131,"Vicente","Guaita","GKP","Crystal Palace",5e+06,15,"3.8","a",76,"51.6","0.0","0.0","5.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40836.jpg",0,"0.8","3.0",0,0,2,0,0,0,1,0,8,0,1,7
"26",132,"Wayne","Hennessey","GKP","Crystal Palace",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/20066.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,7
"263",133,"Wilfried","Zaha","MID","Crystal Palace",6900000,7,"1.8","a",12,"20.4","17.6","103.0","14.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/82403.jpg",0,"0.3","1.0",0,0,1,0,0,0,1,0,0,0,3,7
"264",134,"Luka","Milivojevic","MID","Crystal Palace",6900000,7,"1.8","a",20,"21.8","47.5","8.0","7.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/66975.jpg",0,"0.3","1.0",0,0,2,0,0,0,3,0,0,0,3,7
"269",135,"Andros","Townsend","MID","Crystal Palace",5900000,7,"1.8","a",36,"34.6","15.3","14.0","6.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/60252.jpg",0,"0.3","1.2",0,0,1,0,0,0,0,0,0,0,3,7
"347",136,"Max","Meyer","MID","Crystal Palace",5400000,4,"2.0","a",13,"17.4","3.6","57.0","7.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/141020.jpg",0,"0.2","0.7",0,0,1,0,0,0,1,0,0,0,3,7
"280",137,"Jeffrey","Schlupp","MID","Crystal Palace",5500000,11,"3.7","a",30,"22.2","11.3","15.0","4.9","","2019-08-09T13:00:14.642811Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/86417.jpg",1,"0.5","2.0",0,1,2,0,0,0,0,0,0,1,3,7
"389",138,"James","McArthur","MID","Crystal Palace",5400000,10,"2.5","a",42,"41.8","15.5","4.0","6.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/50471.jpg",0,"0.5","1.9",0,0,2,0,0,0,0,0,0,0,3,7
"350",139,"Cheikhou","Kouyaté","MID","Crystal Palace",4900000,5,"2.5","a",10,"17.2","1.1","0.0","1.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/55037.jpg",0,"0.2","1.0",0,0,2,0,0,0,1,0,0,0,3,7
"282",140,"Luke","Dreher","MID","Crystal Palace",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/221275.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,7
"235",141,"Lucas","Digne","DEF","Everton",6100000,18,"6.0","a",65,"56.2","99.6","62.0","21.8","","2019-08-17T16:00:09.148104Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/101188.jpg",2,"0.7","3.0",0,1,2,0,0,0,0,0,0,2,2,8
"227",142,"Yerry","Mina","DEF","Everton",5600000,17,"5.7","a",73,"56.4","2.7","24.0","8.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/164511.jpg",4,"0.8","3.0",0,0,2,0,0,0,0,0,0,4,2,8
"124",143,"Michael","Keane","DEF","Everton",5500000,15,"5.0","a",65,"65.8","11.8","6.0","8.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/106611.jpg",2,"0.7","2.7",0,0,2,0,0,0,0,0,0,2,2,8
"125",144,"Seamus","Coleman","DEF","Everton",5500000,11,"3.7","a",50,"38.6","28.6","28.0","9.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/59949.jpg",0,"0.5","2.0",0,0,2,0,0,0,2,0,0,0,2,8
"126",145,"Leighton","Baines","DEF","Everton",4900000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-07-30T15:00:09.168977Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/12745.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,8
"479",146,"Cenk","Tosun","FWD","Everton",5800000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-07-30T15:00:09.183258Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/66838.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,4,8
"465",147,"Dominic","Calvert-Lewin","FWD","Everton",5900000,5,"1.7","a",8,"5.8","14.4","26.0","4.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/177815.jpg",0,"0.2","0.8",0,0,2,0,0,0,1,0,0,0,4,8
"9",148,"Jordan","Pickford","GKP","Everton",5600000,14,"4.7","a",62,"43.8","0.0","0.0","4.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/111234.jpg",1,"0.6","2.5",0,0,2,0,0,0,0,0,5,1,1,8
"21",149,"Maarten","Stekelenburg","GKP","Everton",4e+06,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/10318.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,8
"285",150,"Richarlison","de Andrade","MID","Everton",7900000,8,"2.7","a",20,"23.0","23.7","80.0","12.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/212319.jpg",0,"0.3","1.0",0,0,2,0,0,0,0,0,0,0,3,8
"250",151,"Gylfi","Sigurdsson","MID","Everton",7800000,8,"2.7","a",16,"17.8","61.9","51.0","13.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/55422.jpg",0,"0.3","1.0",0,0,2,0,0,0,0,0,0,0,3,8
"287",152,"Bernard","Anício Caldeira Duarte","MID","Everton",6500000,15,"5.0","a",47,"62.8","55.1","55.0","17.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/100649.jpg",3,"0.6","2.3",1,0,2,0,0,0,1,0,0,3,3,8
"328",153,"Theo","Walcott","MID","Everton",6400000,2,"1.0","a",0,"1.0","2.1","6.0","0.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/20467.jpg",0,"0.1","0.3",0,0,0,0,0,0,0,0,0,0,3,8
"289",154,"Tom","Davies","MID","Everton",5400000,1,"1.0","a",2,"3.4","0.1","0.0","0.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/173807.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,3,8
"290",155,"Ademola","Lookman","MID","Everton",5e+06,0,"0.0","u",0,"0.0","0.0","0.0","0.0","Joined RB Leipzig on a permanent deal on 25/7","2019-07-25T09:00:14.381716Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/219352.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,8
"291",156,"Idrissa","Gueye","MID","Everton",5e+06,0,"0.0","u",0,"0.0","0.0","0.0","0.0","Joined PSG on a permanent deal on 30/7","2019-07-30T09:00:05.841634Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/80801.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,8
"297",157,"James","McCarthy","MID","Crystal Palace",4500000,1,"0.5","a",4,"10.0","0.8","0.0","1.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/50472.jpg",0,"0.0","0.2",0,0,0,0,0,0,1,0,0,0,3,7
"292",158,"Morgan","Schneiderlin","MID","Everton",4500000,2,"1.0","a",16,"27.8","18.2","1.0","4.8","","2019-08-10T16:30:08.303097Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/42774.jpg",0,"0.1","0.4",0,0,1,0,0,0,0,1,0,0,3,8
"238",159,"Ricardo Domingos","Barbosa Pereira","DEF","Leicester",6e+06,15,"3.8","a",72,"75.0","36.7","12.0","12.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/111931.jpg",3,"0.6","2.5",0,0,1,0,0,0,0,0,0,3,2,9
"196",160,"Harry","Maguire","DEF","Man Utd",5500000,10,"2.5","a",79,"75.0","28.7","31.0","13.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/95658.jpg",0,"0.5","1.8",0,0,1,0,0,0,1,0,0,0,2,12
"239",161,"Benjamin","Chilwell","DEF","Leicester",5400000,11,"5.5","a",43,"5.2","16.7","9.0","3.1","","2019-08-18T16:00:08.220647Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/172850.jpg",0,"0.5","2.0",0,1,1,0,0,0,0,0,0,0,2,9
"226",162,"Jonny","Evans","DEF","Leicester",5e+06,14,"3.5","a",82,"60.8","1.0","29.0","9.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/37642.jpg",2,"0.7","2.8",0,0,1,0,0,0,0,0,0,2,2,9
"191",163,"Christian","Fuchs","DEF","Leicester",4500000,5,"1.7","a",21,"28.8","28.2","2.0","5.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/37402.jpg",0,"0.3","1.1",0,0,0,0,0,0,0,0,0,0,2,9
"71",164,"Çaglar","Söyüncü","DEF","Leicester",4500000,15,"3.8","a",88,"88.4","11.6","6.0","10.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/218031.jpg",0,"0.8","3.3",0,1,1,0,0,0,0,0,0,0,2,9
"72",165,"Wes","Morgan","DEF","Leicester",4400000,1,"1.0","d",5,"9.0","0.0","0.0","0.9","Back injury - 75% chance of playing","2019-08-28T21:30:17.515643Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/15033.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,2,9
"474",166,"Jamie","Vardy","FWD","Leicester",8900000,25,"6.2","a",90,"40.4","9.0","41.0","8.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/101668.jpg",2,"0.7","2.8",3,1,1,0,0,0,0,0,0,2,4,9
"475",167,"Kelechi","Iheanacho","FWD","Leicester",5900000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/173515.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,4,9
"46",168,"Kasper","Schmeichel","GKP","Leicester",5e+06,13,"3.2","a",64,"73.6","0.0","0.0","7.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/17745.jpg",0,"0.6","2.6",0,0,1,0,0,0,0,0,9,0,1,9
"4",169,"Eldin","Jakupovic","GKP","Leicester",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/11974.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,9
"40",170,"Danny","Ward","GKP","Leicester",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/95463.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,9
"393",171,"James","Maddison","MID","Leicester",7100000,16,"4.0","a",49,"50.6","138.7","75.0","26.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/172780.jpg",1,"0.6","2.3",0,2,1,0,0,0,0,0,0,1,3,9
"394",172,"Harvey","Barnes","MID","Leicester",5900000,9,"3.0","a",34,"39.8","7.2","32.0","8.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/201666.jpg",0,"0.4","1.5",1,0,0,0,0,0,0,0,0,0,3,9
"395",173,"Rachid","Ghezzal","MID","Leicester",5400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/115858.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,9
"436",174,"Marc","Albrighton","MID","Leicester",5400000,3,"1.0","a",10,"4.6","26.0","11.0","4.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/51938.jpg",0,"0.1","0.6",0,0,0,0,0,0,1,0,0,0,3,9
