"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"312",20,"Mohamed","Elneny","MID","Arsenal",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul","2019-08-31T11:30:14.714406Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/153256.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,1
"434",21,"Matteo","Guendouzi","MID","Arsenal",4500000,7,"2.3","a",42,"64.4","19.7","17.0","10.2","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/242166.jpg",0,"0.4","1.6",0,0,1,0,0,0,0,0,0,0,3,1
"88",22,"Ahmed","El Mohamady","DEF","Aston Villa",4500000,6,"2.0","a",47,"50.2","71.9","2.0","12.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/37339.jpg",3,"0.3","1.3",0,0,0,0,0,0,0,0,0,3,2,2
"89",23,"James","Chester","DEF","Aston Villa",4400000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Hamstring injury - Expected back 16 Sep","2019-08-08T17:00:13.859858Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/43252.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,2
"90",24,"Neil","Taylor","DEF","Aston Villa",4500000,9,"2.2","a",58,"46.0","18.8","26.0","9.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/47390.jpg",0,"0.5","2.0",0,0,1,0,0,0,1,0,0,0,2,2
"91",25,"Kortney","Hause","DEF","Aston Villa",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-08-15T13:00:13.496241Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/123354.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,2
"512",26,"Jonathan","Kodjia","FWD","Aston Villa",5400000,1,"1.0","d",4,"0.0","0.0","2.0","0.2","Ankle injury - 50% chance of playing","2019-08-15T13:00:13.507539Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/54764.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,4,2
"1",27,"Ørjan","Nyland","GKP","Aston Villa",4500000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","","2019-07-30T15:00:08.973693Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/98770.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,2
"288",28,"Conor","Hourihane","MID","Aston Villa",5800000,3,"1.5","a",18,"16.4","10.8","0.0","2.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/85242.jpg",0,"0.1","0.5",0,0,0,0,0,0,0,0,0,0,3,2
"251",29,"Jack","Grealish","MID","Aston Villa",6e+06,12,"3.0","a",68,"68.6","105.6","22.0","19.6","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/114283.jpg",1,"0.5","2.0",0,1,1,0,0,0,1,0,0,1,3,2
